UnicodeRanges
	0020	024F
	2000	206F
	3000	303F
	3400	4DB5
	4E00	9FCB
	FF00	FFEF

FontOverride	Exo-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	SourceCodePro-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Titillium-Regular.otf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Akashi.ttf	MFShangHei_Noncommercial_Light_CDE.otf
FontOverride	Nobile-Regular.ttf	MFShangHei_Noncommercial_Light_CDE.otf

GameTitle	Children of a Dead Earth

Speaker Tactical Officer	战术官
Speaker Astrogation Officer	导航官
Speaker First Officer	大副
Speaker High Command	总司令部
Speaker Captain Mendoza	门多萨上校
Speaker Adm. Sutedja	苏特查上将
Speaker Cmdr. Rahimi	拉希米中校
Speaker USF Cdre. Vanhanen	USF 万哈宁准将
Speaker Stationmaster Zhang	张站长
Speaker USF Rear Adm. Sullivan	USF 苏利文少将
Speaker Captain Chandra	钱德拉上校
Speaker Senator Chandra	钱德拉议员
Speaker USF Lt. Cmdr. Xiping	USF 习平少校
Speaker USF Adm. "Overkill" Voitenko	USF 沃提科"血战者"上将
Speaker USF Lt. Cmdr. Tlaloc	USF 特拉洛克少校
Speaker NSF Adm. Fujioka	NSF 藤冈上将
Speaker USF Rear Adm. Pacari	USF 帕卡瑞少将
Speaker USF Cdre. Dugar	USF 杜加尔准将
Speaker USF Rear Adm. Smith	USF 史密斯少将
Speaker USF Fleet Adm. Jefferson	USF 杰佛逊元帅
Speaker RFP President	RFP总统

Level Distress Call at Luna	月球救援
Level Distress Call at Luna Description
	日安，上将，欢迎执行你的第一次指挥任务！不要在意那些关于所谓的裙带关系的绯闻。
	可能你还没有察觉到，近期USTA强占了几颗主小行星带中有领土争议的小行星，这导致了我们两国之间关系骤然紧张，总司令部的所有人 - 包括我在内 - 都一致认为局势还会继续恶化，这意味着我们要在几个月内动员每一位指挥官，所以你现在没有任何经验也不是个问题了！这次任务中，你的下级军官们会手把手地从零指导你轨道飞行的每一步。
	我们的一艘满载着珍贵的放射性矿物的货船，在从小行星带飞往月球的途中遇到了燃料泄漏事故，损失了全部的推进工质。万幸的是，它在燃料彻底漏光前设法进入了月球的高层轨道。船员已经修复了泄露的燃料罐，因此现在只要重新给货船加满燃料就可以了，月球是我们在太阳系中继火星之后，第二大的领土，所以我们在轨道上有大把大把的飞船和空间站可以对他们进行救援。
	你的任务就是指挥一艘停靠在储藏站的甲烷运输船，前去与失事的货船会合，为它加满燃料，然后带着它一起回到你出发的储藏站并做任务报告。这应该是一个很简单的任务了，今后还会有更困难的任务等着你呢，再强调一遍，有问题不要慌，你的军官们会一步步地指导你完成任务。
	啊，另外，请替我向你的母亲 - 我们敬爱的总统女士 - 问一声好！祝你好运！
Level Distress Call at Luna ShortDescription	为一艘在月球轨道上的遇险货船补充燃料，并带它回到空间站。

Level1Tutorial1	幸会，上将！在您手下服役是我最大的荣幸！我们先来学习一下如何控制游戏镜头。按住鼠标右键并拖动来旋转摄像机，或者您可以使用[W][A][S][D]键。
Level1Tutorial2	使用鼠标滚轮来缩小或放大视野，或者使用[Q][E]键。
Level1Tutorial3	按住鼠标左键并拖动来平移摄像机，或者按住[Shift]键然后按[W][A][S][D]。
Level1Tutorial4	按住鼠标中键并左右拖动鼠标来转动摄像机，或者按住[Shift]键然后按[Q][E]。
Level1Tutorial5	就是这样！我们再温习一遍，来漫游一下地月系吧。现在选中地球，先旋转镜头找到地球，然后左键点击它。
Level1Tutorial6	现在让我们把相机聚焦到被选中的对象，您可以点击这个按钮，或者按快捷键[C]。
Level1Tutorial7	很好！看看我们美丽的地球，她是如此的蔚...好吧，并不是那种通俗意义上的美丽。不管怎么说，我们这次任务跟地球没有什么关系，所以让我们回到月亮上吧，现在选择月球，如果你发现您选中月球后弹出的是一个菜单的话，这说明在屏幕上月球和其它物体重叠了。
Level1Tutorial8	然后再把相机聚焦到月球上。
Level1Tutorial9	干得好！另外，如果您想再次查阅之前的消息记录的话，您可以在这里查看。
Level1Tutorial10	准备好了的话，就关掉消息窗口。
Level1Tutorial11	在月球轨道上的菱形和正方形图标是您的舰队，选中有着菱形图标的舰队。
Level1Tutorial12	这是那艘遇险的货船。注意它的Delta-V为0，这意味着这艘太空船因为燃料耗尽而无法进行任何机动，它被困死在了它现在的轨道上。您的任务就是为它补充燃料。
