UnicodeRanges
	0020	024F
	2000	206F





GameTitle	Children of a Dead Earth

Speaker Tactical Officer	Tactical Officer
Speaker Astrogation Officer	Astrogation Officer
Speaker First Officer	First Officer
Speaker High Command	High Command
Speaker Captain Mendoza	Captain Mendoza
Speaker Adm. Sutedja	Adm. Sutedja
Speaker Cmdr. Rahimi	Cmdr. Rahimi
Speaker USF Cdre. Vanhanen	USF Cdre. Vanhanen
Speaker Stationmaster Zhang	Stationmaster Zhang
Speaker USF Rear Adm. Sullivan	USF Rear Adm. Sullivan
Speaker Captain Chandra	Captain Chandra
Speaker Senator Chandra	Senator Chandra
Speaker USF Lt. Cmdr. Xiping	USF Lt. Cmdr. Xiping
Speaker USF Adm. "Overkill" Voitenko	USF Adm. "Overkill" Voitenko
Speaker USF Lt. Cmdr. Tlaloc	USF Lt. Cmdr. Tlaloc
Speaker NSF Adm. Fujioka	NSF Adm. Fujioka
Speaker USF Rear Adm. Pacari	USF Rear Adm. Pacari
Speaker USF Cdre. Dugar	USF Cdre. Dugar
Speaker USF Rear Adm. Smith	USF Rear Adm. Smith
Speaker USF Fleet Adm. Jefferson	USF Fleet Adm. Jefferson
Speaker RFP President	RFP President

Level Distress Call at Luna	Distress Call at Luna
Level Distress Call at Luna Description
	Welcome to your first command, Admiral. Please pay no mind to all the talk about nepotism.
	In case you're not aware already, the USTA's recent acquisitions of contested asteroids in the belt has caused severely rising tensions, and the leaders and myself at high command are expecting the worst. That means we will be needing all the commanders we can get in the coming months, so your complete lack of experience is not a problem. You will have several subordinate officers who will guide you through basic orbital mechanics for this mission.
	One of our Cargo Freighters, a tug carrying valuable radionuclides to Luna from the belt, has suffered a ruptured fuel tank, and lost all propellant. Fortunately, it managed to inject itself into high orbit around Luna before it lost all delta-v. The crew has patched up the hole, so it should be okay to refuel them at this point. Luna's our second greatest claim in the solar system behind Mars, so we have plenty of spacecraft and stations in orbit to help them out.
	Your job is to take a Methane Tanker currently docked at a Methane Depot, and rendezvous with the freighter. Refuel the Cargo Freighter, and then bring it back to the Methane Depot to complete the mission. Should be a simple task, and will prepare you for the more difficult missions ahead. Again, your officers will explain every step of the way.
	And finally, give my regards to your mother, Madame President. Good luck!
Level Distress Call at Luna ShortDescription	Refuel a cargo freighter orbiting Luna with a ruptured fuel tank, and then rendezvous it with a space station.

Level1Tutorial1	Greetings, Admiral! A pleasure to serve under you! Let's learn some camera controls first. Rotate the camera by click-dragging with the right mouse button, or by pressing the [W][A][S][D] keys.
Level1Tutorial2	Zoom in and out with the mouse wheel, or the [Q][E] keys.
